"","X","Unnamed..0","BrefID","Year","BibLvlCode","StandardTitle","RefStrFull","AbstractEnglish","Refstringauthors","WoScode","FullAut","Affiliation","DOI","ownDOI","spcolNames","GeoTerms","TaxTerms","ThesTerms","OtherTerms","AuthorKeywords","DocType","LitStyles","ThesisDegree","wos_affil","wos_country","wos_keywords","wos_plus_keywords","wos_categories","wos_researcharea","stand_affil","similarity_method","stand_country","stand_flemish","stand_GROUP","stand_QH","result_status","result"
"195",495,495,323739,2020,"AS","Supporting the essential - Recommendations for the development of accessible and interoperable marine biological data products","<b>Lear, D.; Herman, P.; Van Hoey, G.; Schepers, L.; TonnÃ©, N.; Lipizer, M.; MÃ¼ller-Karger, F.E.; Appeltans, W.; Kissling, W.D.; Holdsworth, N.; Edwards, M.; Pecceu, E.; NygÃ¥rd, H.; Canonico, G.; Birchenough, S.; Graham, G.; Deneudt, K.; Claus, S.; Oset, P.</b> (2020). Supporting the essential - Recommendations for the development of accessible and interoperable marine biological data products. <i>Mar. Policy 117</i>: 103958. <a href=""https://hdl.handle.net/10.1016/j.marpol.2020.103958"" target=""_blank"">https://hdl.handle.net/10.1016/j.marpol.2020.103958</a>","In this paper we outline the stakeholder-led approaches in the development of biological data products to support effective conservation, management and policy development. The requirements of a broad range of stakeholders and iterative, structured processes framed the development of tools, models and maps that support the FAIR (Findable, Accessible, Interoperable, Reusable) data principles. By structuring the resultant data products around the emerging biological Essential Ocean Variables, and through the engagement with a broad range of end-users, the EMODnet (European Marine Observation and Data Network) Biology project has delivered a suite of demonstration data products. These products are presented in the European Atlas of Marine Life, an online resource demonstrating the value of open marine biodiversity data and help to answer fundamental and policy-driven questions related to managing the natural and anthropogenic impacts in European waters.","Lear, D.; Herman, P.; Van Hoey, G.; Schepers, L.; TonnÃ©, N.; Lipizer, M.; MÃ¼ller-Karger, F.E.; Appeltans, W.; Kissling, W.D.; Holdsworth, N.; Edwards, M.; Pecceu, E.; NygÃ¥rd, H.; Canonico, G.; Birchenough, S.; Graham, G.; Deneudt, K.; Claus, S.; Oset, P.","WOS:000541263200016","Van Hoey, G.","Research Institute for Agriculture, Fisheries and Food","https://hdl.handle.net/10.1016/j.marpol.2020.103958","","EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","Biodiversity; Data; Data products; Stakeholder engagement; EOV; EBV","Journal article","","","Marine Biol Assoc UK, Citadel Hill, Plymouth, Devon, England.","England","Biodiversity; Data; Data products; Stakeholder engagement; EOV; EBV","PUBLIC AWARENESS; IMPACTS","Environmental Studies; International Relations","Environmental Sciences & Ecology; International Relations","Research Institute for Agriculture, Fisheries and Food (ILVO)","","","","","","OK","{'SDG_14': 2.0, 'SDG_11': 1.0}"
"196",42,42,324522,2020,"AS","A new species of <em>Pherbellia</em> (Diptera: Sciomyzidae) from Iran","<b>Kazerani, F.; Mortelmans, J.; Farashiani, M.E.; Thorn, S.</b> (2020). A new species of <em>Pherbellia</em> (Diptera: Sciomyzidae) from Iran. <i>Zootaxa 4772(2)</i>: 361-370. <a href=""https://hdl.handle.net/10.11646/zootaxa.4772.2.7"" target=""_blank"">https://hdl.handle.net/10.11646/zootaxa.4772.2.7</a>","<i>Pherbellia jalili</i> Mortelmans & Kazerani sp. nov. is described based on 5 males and 4 females. The new species is associated with old deciduous forest and is found only in the Hyrcanean forest in Iran. It is compared with its sister species, <i>P. annulipes</i> (Zetterstedt, 1846), and a comprehensive distribution map for both species is given. The key to species of this group of <i>Pherbellia</i> is updated including the Japanese <i>Pherbellia tricolo</i>r Sueyoshi, 2001. Barcodes are generated for <i>P. jalili</i> sp. nov., <i>P. annulipes</i>, and <i>P. nana nana</i> (FallÃ©n, 1820).","Kazerani, F.; Mortelmans, J.; Farashiani, M.E.; Thorn, S.","WOS:000534362300007","Kazerani, Farzaneh, F.","","https://hdl.handle.net/10.11646/zootaxa.4772.2.7","","Lifewatch acknowledged, ""LifeWatch Observatory""","","Sciomyzoidea","Biogeography, ""Distribution"", ""Nomenclature"", ""Taxonomy""","","barcodes, faunistics, Palearctic, snail-killing flies","Journal article","","","Jutestr 30, B-9000 Ghent, Belgium.","Belgium","barcodes; biogeography; distribution; faunistics; nomenclature; Palearctic; Sciomyzoidea; snail-killing flies; taxonomy","SNAIL-KILLING FLY; ROBINEAU-DESVOIDY; PHAEOMYIIDAE; ANNULIPES; RECORDS; FLIES; KEY","Zoology","Zoology","","","","","","","OK","{'SDG_15': 1.0}"
"197",52,52,324627,2020,"AS","Western marsh harriers <i>Circus aeruginosus</i> from nearby breeding areas migrate along comparable loops, but on contrasting schedules in the West Africanâ€“Eurasian flyway","<b>Vansteelant, W.M.G.; Klaassen, R.; Strandberg, R.; Janssens, K.; TÂ´Jollyn, F.; Bouten, W.; Koks, B.J.; Anselin, A.</b> (2020). Western marsh harriers <i>Circus aeruginosus</i> from nearby breeding areas migrate along comparable loops, but on contrasting schedules in the West Africanâ€“Eurasian flyway. <i>J. Ornithol. 161</i>: 953-965. <a href=""https://hdl.handle.net/10.1007/s10336-020-01785-6"" target=""_blank"">https://hdl.handle.net/10.1007/s10336-020-01785-6</a>","","Vansteelant, W.M.G.; Klaassen, R.; Strandberg, R.; Janssens, K.; TÂ´Jollyn, F.; Bouten, W.; Koks, B.J.; Anselin, A.","WOS:000533166500001","Vansteelant, Wouter , W.M.G.","","https://hdl.handle.net/10.1007/s10336-020-01785-6","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","Flexibility, ""Phenology""","","GPS-tracking, Raptors, Route choice, Weather","Journal article","","","Univ Amsterdam, Inst Biodivers & Ecosyst Dynam, Amsterdam, Netherlands.","Netherlands","Flexibility; GPS-tracking; Phenology; Raptors; Route choice; Weather","BIRD MIGRATION; SATELLITE TRACKING; DISTANCE MIGRATION; MEDITERRANEAN SEA; FLIGHT STRATEGIES; SOARING MIGRANTS; WIND; RAPTORS; BEHAVIOR; AGE","Ornithology","Zoology","University of Amsterdam - Institute for Biodiversity and Ecosystem Dynamics (IBED) - Computational Geoecology","x","Netherlands","","Research institute","Science","OK","{'SDG_6': 1.0, 'SDG_15': 1.0}"
"198",162,162,325151,2020,"AS","Mooring scientific instruments on the seabed â€“ Design, deployment protocol and performance of a recoverable frame for acoustic receivers","<b>Goossens, J.; Tâ€™Jampens, M.; Deneudt, K.; Reubens, J.</b> (2020). Mooring scientific instruments on the seabed â€“ Design, deployment protocol and performance of a recoverable frame for acoustic receivers. <i>Methods Ecol. Evol. 11(8)</i>: 974-979. <a href=""https://hdl.handle.net/10.1111/2041-210x.13404"" target=""_blank"">https://hdl.handle.net/10.1111/2041-210x.13404</a>","<li>1. Acoustic telemetry is increasingly used to observe and monitor animal movements in aquatic environments. Practical deployment mechanisms are needed to sustain consistent data flows in challenging environments.</li><li>2. A tripod frame was developed to facilitate the deployment of acoustic receivers on the seabed, allowing for the recovery of all equipment with an acoustic release system.</li>            <li>3. The procedures of deployment and recovery proved to be practical and efficient during a field trial in the North Sea. Compared to a common cabled design, the tripod frame realized a significantly higher detection probability and performed consistently better at greater distance and louder ambient noise.</li><li>4. In the context of ocean observation in challenging environments, the tripod frame is a useful tool for temporary and continuous monitoring of tagged fish presence, potentially fitted with additional instruments.</li>","Goossens, J.; Tâ€™Jampens, M.; Deneudt, K.; Reubens, J.","WOS:000541438500001","Deneudt, Klaas, K.","Flanders Marine Institute (VLIZ)","https://hdl.handle.net/10.1111/2041-210x.13404","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","Acoustic telemetry, mooring design, movement ecology, oceanographic instrument, tripod frame","Journal article","","","Flanders Marine Inst, Oostende, Belgium.","Belgium","acoustic telemetry; mooring design; movement ecology; oceanographic instrument; tripod frame","TELEMETRY ARRAY","Ecology","Environmental Sciences & Ecology","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{'SDG_14': 3.0, 'SDG_13': 2.0}"
"199",222,222,325278,2020,"AS","Acoustic positioning in a reflective environment: going beyond point-by-point algorithms","<b>Vergeynst, J.; Vanwyck, T.; Baeyens, R.; De Mulder, T.; Nopens, I.; Mouton, A.; Pauwels, I.</b> (2020). Acoustic positioning in a reflective environment: going beyond point-by-point algorithms. <i>Animal Biotelemetry 8(1)</i>: [1-17]. <a href=""https://hdl.handle.net/10.1186/s40317-020-00203-1"" target=""_blank"">https://hdl.handle.net/10.1186/s40317-020-00203-1</a>","Background</h3><p>Acoustic positioning telemetry is nowadays widely used in behavioural ecology of aquatic animals. Data on the animalâ€™s geographical location and its changes through time are used to study for instance movement patterns, habitat use and migration. The acoustic signals are detected by stand-alone receivers, allowing to collect huge amounts of data over long periods of time. However, large volumes of data might contain large errors. The traditional Time Difference of Arrival (TDOA) method used to calculate underwater positions, is a point-by-point approach: every position is calculated independently of all other positions. This method assumes that the acoustic transmissions follow a linear path. In many environments, this assumption is violated, for instance by reflections of the acoustic signal against hard surfaces, such as rock formations and concrete walls, or by diffractions around obstacles. Hence, acoustic positioning datasets usually require additional filtering. Unfortunately, the performance of the available filtering techniques is often unclear or ambiguous, especially when reflections occur. An alternative to the point-by-point approach, is a track-oriented approach, as used by YAPS (Yet Another Positioning System). This novel algorithm uses the information that is present in previous and subsequent positions, by combining a model of fish behaviour with Time of Arrival (TOA) of the signals on the receivers. In this study, we investigated the performance of two filtering techniques applied to positions provided by the Vemco Positioning System (VPS) in a highly reflective environment. We compared the unfiltered VPS positions with a standard filtering technique, making use of the Horizontal Positioning Error (HPE), and developed a new filter based on receiver cluster classification. Finally, we recalculated the positions with YAPS and compared the performance of this system to the two filtering techniques.</p><h3 class=""c-article__sub-heading"" data-test=""abstract-sub-heading"">Results</h3><p>The performance of the VPS system was strongly impeded by the multiple reflections occurring in this study area, but lowering the power output of transmitters can slightly attenuate this issue. None of the filtering techniques was able to compensate for reflections and to improve the positioning accuracy significantly. Only the YAPS algorithm could cope with the high level of reflectivity in this study site.</p><h3 class=""c-article__sub-heading"" data-test=""abstract-sub-heading"">Conclusions</h3><p>Point-by-point algorithms might fail to provide accurate fine-scale tracks in a highly reflective acoustic environment. As this study has shown, the YAPS algorithm can provide a successful alternative, even in these difficult conditions","Vergeynst, J.; Vanwyck, T.; Baeyens, R.; De Mulder, T.; Nopens, I.; Mouton, A.; Pauwels, I.","","De Mulder, Tom, T.","Department of Civil Engineering, Ghent University","https://hdl.handle.net/10.1186/s40317-020-00203-1","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","VPS, Acoustic positioning telemetry, HPE, YAPS, Reflective environment, Multipath","Journal article","","","","","","","","","Ghent University - Department of Civil Engineering","","Belgium","x","University","Science","OK","{'SDG_7': 1.0, 'SDG_14': 1.0}"
"200",240,240,325347,2020,"AS","Resurrection of the name <i>Limnia testacea</i> (Diptera: Sciomyzidae), with <i>L. setosa</i> as a new synonym, and the first record of <i>L. testacea</i> from Mongolia","<b>Mortelmans, J.</b> (2020). Resurrection of the name <i>Limnia testacea</i> (Diptera: Sciomyzidae), with <i>L. setosa</i> as a new synonym, and the first record of <i>L. testacea</i> from Mongolia. <i>Zoosyst. Ross. 29(1)</i>: 101-108. <a href=""https://hdl.handle.net/10.31610/zsr/2020.29.1.101"" target=""_blank"">https://hdl.handle.net/10.31610/zsr/2020.29.1.101</a>","The status of the names <i>Pherbina testacea</i> (Sack, 1939) and <i>Limnia setosa</i> Yano, 1978 is revised based on the examination of the type material of both the species, additional specimens and an analysis of the published data. The following taxonomic changes are proposed: <i>Ph. testacea</i> is returned to the genus <i>Limnia</i>, as <i>Limnia testacea</i>, comb. resurr., and <i>L. setosa</i>, syn. nov., is placed in synonymy with <i>L. testacea</i>. The records of <i>L. testacea</i> (under both names) are reviewed. <i>Limnia testacea</i> is recorded for the first time from Mongolia, which considerably extends the range of this species.","Mortelmans, J.","","Mortelmans, Jonas, J.","","https://hdl.handle.net/10.31610/zsr/2020.29.1.101","","Lifewatch acknowledged, ""LifeWatch Observatory""","","Sciomyzidae Macquart, 1846","","","snail-killing flies, distribution, Palaearctic, synonymy, Acalyptratae, Sciomyzidae","Journal article","","","","","","","","","","","","","","","OK","{'SDG_9': 1.0}"
"201",242,242,325360,2020,"AS","Quantifying and reducing epistemic uncertainty of passive acoustic telemetry data from longitudinal aquatic systems","<b>Bruneel, S.; Verhelst, P.; Reubens, J.; Baetens, J.M.; Coeck, J.; Moens, T.; Goethals, P.</b> (2020). Quantifying and reducing epistemic uncertainty of passive acoustic telemetry data from longitudinal aquatic systems. <i>Ecological Informatics 59</i>: 101133. <a href=""https://hdl.handle.net/10.1016/j.ecoinf.2020.101133"" target=""_blank"">https://hdl.handle.net/10.1016/j.ecoinf.2020.101133</a>","Passive acoustic telemetry data are used to study animal movement in aquatic environments, but tools to process the data are limited. In areas that are too large to be fully covered by the limited detection ranges of receivers or acoustic listening stations, researchers generally assume that animals are residing in an area when they are detected frequently at specific receivers. There is, however, no consensus on how this area and frequency should be spatially and temporally defined respectively, thereby introducing some unaccounted uncertainty of this residency-at-receivers. In longitudinal aquatic systems such as rivers or estuaries, strategically placed receivers are often used as gates or curtains through which tagged animals have to pass. Rather than being a proxy for the time spent near receivers, the detections can serve as boundary conditions to delineate the durations that animals spent between receivers (i.e. residency-between-receivers). As such, providing a spatial and temporal context to the detections and enabling the quantification of epistemic uncertainty. To assess the usefulness of this approach, we analyzed telemetry data for migrating eel in a longitudinal estuarine acoustic tracking network of 21 gates. Results revealed a logarithmic relationship between epistemic uncertainty and gate network resolution, which indicates that transferring information from the spatial to the temporal level has a positive effect on the epistemic uncertainty. The poor correlation between the at-receivers and the between-receivers approach indicates that the latter, although less precise, may be more accurate. It should be noted that the suggested approach assumes that the gates of receivers are perfect detectors. If tagged animals are able to pass these gates undetected the uncertainty will actually be higher than assumed. Our approach is therefore less suited for large open areas such as lagoons or seas where gates with high detection probabilities are logistically challenging. This approach allows the quantification and reduction of epistemic uncertainty by providing a spatiotemporal context to the detections. Since establishing and maintaining passive telemetry networks is generally expensive and the results these networks generate are often used in decision making, an assessment of the network quality and data uncertainty is vital.","Bruneel, S.; Verhelst, P.; Reubens, J.; Baetens, J.M.; Coeck, J.; Moens, T.; Goethals, P.","WOS:000564618700008","Moens, Tom, T.","Marine Biology Research Group, Ghent University","https://hdl.handle.net/10.1016/j.ecoinf.2020.101133","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","Epistemic uncertainty; Estuary; Fish; Gates; Network design; Passive acoustic; telemetry curtains","Journal article","","","Univ Ghent, Dept Anim Sci & Aquat Ecol, Coupure Links 653, B-9000 Ghent, Belgium.","Belgium","Epistemic uncertainty; Estuary; Fish; Gates; Network design; Passive acoustic telemetry curtains","ANGUILLA-ANGUILLA; DETECTION RANGE; RESIDENCE TIME; FISH; DESIGN; POSITIONS; BEHAVIOR; ANIMALS; ARRAY","Ecology","Environmental Sciences & Ecology","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)","x","Belgium","x","Research institute","Science","OK","{'SDG_9': 1.0}"
"202",258,258,325434,2020,"AS","Een blik op zee: Biodiversiteit en bescherming van het mariene leven in het Belgisch deel van de Noordzee","<b>Vanaverbeke, J.; Degraer, S.; Haelters, J.; Kerckhof, F.; Seys, J.; Van Hoey, G.; Vandendriessche, S.; Vandepitte, L.</b> (2020). Een blik op zee: Biodiversiteit en bescherming van het mariene leven in het Belgisch deel van de Noordzee. <i>Natuur.Focus 19(2)</i>: 86-95","The Belgian part of the North Sea is a small but unique part of theSouthern North Sea, as it is characterised by a high habitat diversity.Historically the combination of mobile sands, sandbanks and gravelbeds harboured rich and diverse communities, encompassing oysterbeds, a rich gravel bed fauna and fish communities that were abundantlypresent. The present situation is different, as the gravel and oysterhabitats have (almost) disappeared due to bottom trawling activities. Inaddition to bottom trawling, the marine ecosystem of the Belgian partof the North Sea has been exposed to a multitude of pressures related tomany human activities, which can be both located at sea (i.e. offshorewind farming) or find their origin on land (i.e. eutrophication). Whilelegislation exists and measures are taken to protect the biodiversityand the functioning of the marine ecosystem, they regulate local activities but do not act on the exposure of the marine ecosystem to global changes (sea surface temperature warming, ocean acidification). Future initiatives to strengthen the impoverished communities in the Belgian part of the North Sea can include decreasing fishing pressure and the delineation of no-take zones. In addition future offshore windfarms can be installed according to a nature-inclusive design, to create habitat for native species whose natural habitat has been reduced or degraded.","Vanaverbeke, J.; Degraer, S.; Haelters, J.; Kerckhof, F.; Seys, J.; Van Hoey, G.; Vandendriessche, S.; Vandepitte, L.","","Degraer, Steven, S.","Koninklijk Belgisch Instituut voor Natuurwetenschappen (KBIN), Operationele Directie Natuurlijk Milieu (OD Natuur)","","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Journal article","","","","","","","","","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Directorate Natural Environment (OD Nature)","","","","","","OK","{'SDG_14': 13.0, 'SDG_2': 1.0, 'SDG_10': 1.0}"
"203",269,269,325639,2020,"AS","GPS tracking data of Western marsh harriers breeding in Belgium and the Netherlands","<b>Milotic, T.; Desmet, P.; Anselin, A.; De Bruyn, L.; De Regge, N.; Janssens, K.; Klaassen, R.; Koks, B.; Schaub, T.; Schlaich, A.; Spanoghe, G.; Tâ€™Jollyn, F.; Vanoverbeke, J.; Bouten, W.</b> (2020). GPS tracking data of Western marsh harriers breeding in Belgium and the Netherlands. <i>ZooKeys 947</i>: 143-155. <a href=""https://hdl.handle.net/10.3897/zookeys.947.52570"" target=""_blank"">https://hdl.handle.net/10.3897/zookeys.947.52570</a>","In this data paper three datasets are described containing GPS tracking and acceleration data of Western marsh harriers (<i>Circus aeruginosus</i>) breeding in Belgium and the Netherlands. The Western marsh harrier is included as a threatened bird species in Annex I of the European Bird Directive due to the steep decline in population densities. In order to collect data of habitat use and migration behaviour, Western marsh harriers were equipped with light-weight solar powered GPS trackers developed by the Institute for Biodiversity and Ecosystem Dynamics (IBED) at the University of Amsterdam (University of Amsterdam Bird Tracking System, UvA-BiTS). These trackers automatically collect and store data on the birdâ€™s activity and 3D position in time and transmit these data to ground stations.","Milotic, T.; Desmet, P.; Anselin, A.; De Bruyn, L.; De Regge, N.; Janssens, K.; Klaassen, R.; Koks, B.; Schaub, T.; Schlaich, A.; Spanoghe, G.; Tâ€™Jollyn, F.; Vanoverbeke, J.; Bouten, W.","WOS:000571482100007","Desmet, Peter, P.","Research Institute for Nature and Forest","https://hdl.handle.net/10.3897/zookeys.947.52570","","Lifewatch acknowledged, ""LifeWatch Observatory""","","Circus aeruginosus (Linnaeus, 1758)","","","Animal movement, bird tracking, biologging, Circus aeruginosus, GPS tracking, habitat use, LifeWatch, machine observation, migration data, Movebank, UvA-BiTS","Journal article","","","Res Inst Nat & Forest INBO, Havenlaan 88-73, B-1000 Brussels, Belgium.","Belgium","Animal movement; bird tracking; biologging; Circus aeruginosus; GPS tracking; habitat use; LifeWatch; machine observation; migration data; Movebank; UvA-BiTS","","Zoology","Zoology","Research Institute for Nature and Forest (INBO)","","","","","","OK","{'SDG_2': 1.0, 'SDG_3': 1.0, 'SDG_7': 1.0}"
"204",350,350,328536,2020,"AS","Foraminifera in the World Register of Marine Species (Worms) taxonomic database","<b>Hayward, B.W.; Le Coze, F.; Vandepitte, L.; Vanhoorne, B.</b> (2020). Foraminifera in the World Register of Marine Species (Worms) taxonomic database. <i>J. Foramin. Res. 50(3)</i>: 291-300. <a href=""https://hdl.handle.net/10.2113/gsjfr.50.3.291"" target=""_blank"">https://hdl.handle.net/10.2113/gsjfr.50.3.291</a>","Most foraminiferal research is founded on sound taxonomy. To clearly communicate such research, similar species concepts and consistent use of names is desirable. As a contribution to this larger goal, the World Foraminifera Database (http://www.marinespecies.org/foraminifera) was set up in 2010 as a subset within the World Register of Marine Species (WoRMS). The purpose is to provide an authoritative, open-access inventory of all foraminiferal taxonomic names. The inventory is almost complete for both fossil and Recent foraminiferal taxa, containing 4932 generic and 55,884 species (including infraspecies) names. There are âˆ¼61,000 genus-species combinations of which âˆ¼54,600 are currently â€œacceptedâ€ species and infraspecies (with 9600 extant). Associated data includes 14,700 linked foraminiferal literature sources, âˆ¼6600 images, and species-level links to many other databases and images, such as the Cushman Collection (Smithsonian Institution), American Museum of Natural History, Mikrotax (planktic foraminifera), GenBank, and Zootaxon. The WoRMS database is owned by the global taxonomic community and hosted and serviced by the Flanders Marine Institute (VLIZ), Belgium. We recommend that all researchers working with foraminifera both use and contribute to the World Foraminifera Database, as that will improve the accuracy of the database's content and save investigators many hours of searching elsewhere.","Hayward, B.W.; Le Coze, F.; Vandepitte, L.; Vanhoorne, B.","WOS:000582618800004","Hayward, Bruce, B.W.","","https://hdl.handle.net/10.2113/gsjfr.50.3.291","","Lifewatch acknowledged, ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Journal article","","","Geomarine Res, 19 Debron Ave, Auckland, New Zealand.","New Zealand","","BIODIVERSITY","Paleontology","Paleontology","Geomarine Research","","New Zealand","","Research institute","Science","OK","{}"
"205",355,355,328545,2020,"AS","Risks of floating microplastic in the global ocean","<b>Everaert, G.; De Rijcke, M.; Lonneville, B.; Janssen, C.R.; Backhaus, T.; Mees, J.; van Sebille, E.; Koelmans, A.A.; Catarino, A.I.; Vandegehuchte, M.</b> (2020). Risks of floating microplastic in the global ocean. <i>Environ. Pollut. 207</i>: 115499. <a href=""https://hdl.handle.net/10.1016/j.envpol.2020.115499"" target=""_blank"">https://hdl.handle.net/10.1016/j.envpol.2020.115499</a>","Despite the ubiquitous and persistent presence of microplastic (MP) in marine ecosystems, knowledge of its potential harmful ecological effects is low. In this work, we assessed the risk of floating MP (1 Î¼m â€“ 5 mm) to marine ecosystems by comparing ambient concentrations in the global ocean with available ecotoxicity data. The integration of twenty-three species-specific effect threshold concentration data in a species sensitivity distribution yielded a median unacceptable level of 1.21 * 10<sup>5</sup> MP m<sup>-</sup>Â³ (95% CI: 7.99 * 10<sup>3</sup> â€“ 1.49 * 10<sup>6</sup> MP m<sup>-</sup>Â³). We found that in 2010 for 0.17% of the surface layer (0 â€“ 5 m) of the global ocean a threatening risk would occur. By 2050 and 2100, this fraction increases to 0.52% and 1.62%, respectively, according to the worst-case predicted future plastic discharge into the ocean. Our results reveal a spatial and multidecadal variability of MP-related risk at the global ocean surface. For example, we have identified the Mediterranean Sea and the Yellow Sea as hotspots of marine microplastic risks already now and even more pronounced in future decades.","Everaert, G.; De Rijcke, M.; Lonneville, B.; Janssen, C.R.; Backhaus, T.; Mees, J.; van Sebille, E.; Koelmans, A.A.; Catarino, A.I.; Vandegehuchte, M.","WOS:000593966000015","Backhaus, T.","","https://hdl.handle.net/10.1016/j.envpol.2020.115499","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","Microplastic; Environmental Risk Assessment; Marine Ecosystems; Multidecadal; Spatial Distribution","Journal article","","","Flanders Marine Inst, Oostende, Belgium.","Belgium","Microplastic; Environmental risk assessment; Marine ecosystems; Multidecadal; Spatial distribution","POLYSTYRENE MICROPLASTICS; PLASTIC DEBRIS; INGESTION; TOXICITY; PARTICLES; IMPACT; SEA; DISTRIBUTIONS; NANOPLASTICS; PROTECTION","Environmental Sciences","Environmental Sciences & Ecology","VLIZ Flanders Marine Institute","x","Belgium","x","Research institute","Science","OK","{'SDG_3': 1.0, 'SDG_15': 1.0}"
"206",368,368,329304,2020,"M","Phytoplankton biodiversity in the Belgian part of the North Sea: a microscopic and molecular inventory","<b>Lagaisse, R.</b> (2020). Phytoplankton biodiversity in the Belgian part of the North Sea: a microscopic and molecular inventory. MSc Thesis. Ghent University, Biology Department: Gent. 117 pp.","","Lagaisse, R.","","Lagaisse, Rune, R.","Faculty of Sciences â€“ research group Protistology & Aquatic Ecology","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Book/Monograph","Dissertation","MSc","","","","","","","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)","x","Belgium","x","Research institute","Science","OK","{'SDG_14': 2.0, 'SDG_2': 1.0, 'SDG_3': 1.0}"
"207",379,379,329660,2018,"M","Invasive species - Ruddy duck (<i>Oxyura jamaicensis</i>) in Flanders, Belgium","<b>Adriaens, T.; Devisscher, S.; Brosens, D.; Desmet, P.; Reyserhove, L.</b> (2018). Invasive species - Ruddy duck (<i>Oxyura jamaicensis</i>) in Flanders, Belgium. v1.2. Research Institute for Nature and Forest (INBO): Brussel.  ","","Adriaens, T.; Devisscher, S.; Brosens, D.; Desmet, P.; Reyserhove, L.","","Devisscher, Sander, S.","Research Institute for Nature and Forest (INBO)","","","Lifewatch acknowledged","Belgium","","Alien species","","Samplingevent, Ruddy duck, Oxyura leucocephala, TrIAS","Book/Monograph","","","","","","","","","INBO Research Institute for Nature and Forest","","Belgium","x","Research institute","Science","OK","{}"
"208",385,385,329671,2021,"AS","Shipping canals on the downstream migration route of European eel (<i>Anguilla anguilla</i>): Opportunity or bottleneck?","<b>Vergeynst, J.; Pauwels, I.; Baeyens, R.; Mouton, A.; De Mulder, T.; Nopens, I.</b> (2021). Shipping canals on the downstream migration route of European eel (<i>Anguilla anguilla</i>): Opportunity or bottleneck? <i>Ecol. Freshw. Fish. 30(1)</i>: 73-87. <a href=""https://hdl.handle.net/10.1111/eff.12565"" target=""_blank"">https://hdl.handle.net/10.1111/eff.12565</a>","Migrating fish species are worldwide in decline due to several global changes and threats. Among these causes are manâ€made structures blocking their freshwater migration routes. Shipping canals with navigation locks play a dual role in this. These canals can serve as an important migration route, offering a short cut between freshwater and the sea. In contrast, the navigation locks may act as barriers to migration, causing delays and migration failures. To better understand these issues for downstream migrating fish, we studied the behaviour of European eels (<i>Anguilla anguilla</i>) in the Albert Canal at two scales. The midâ€scale contained a 27â€km canal pound confined by two navigation lock complexes, in which we released and tracked 86 silver eels. The small scale was a 200Â Ã—Â 150Â m area just in front of the most downstream complex of the canal pound, where we analysed the behaviour of 33 eels in relation to the flow field resulting from a computational fluid dynamics (CFD) model. This paper discusses the factors influencing fish behaviour, and the relation between these behaviours on both scales. On the midâ€scale, migration efficiency resulted from a combination of intrinsic behaviour and flow in the canal pound. Also on the small scale, intrinsic behaviour influenced the success to pass the navigation lock. Increasing the flow would create more attraction and passage opportunities and hence facilitate migration through shipping canals, but only if this flow guides the fish through safe passage routes.","Vergeynst, J.; Pauwels, I.; Baeyens, R.; Mouton, A.; De Mulder, T.; Nopens, I.","WOS:000550449500001","Vergeynst, Jenna, J.","BIOMATHâ€”Model-Based Analysis and Optimisation of Bioprocesses, Department of Data Analysis and Mathematical Modelling, Universiteit Gent","https://hdl.handle.net/10.1111/eff.12565","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","Computational fluid dynamics","","downstream fish migration, European eel, fish behaviour, navigation locks, shipping canal","Journal article","","","Univ Ghent, BIOMATH Model Based Anal & Optimisat Bioproc, Dept Data Anal & Math Modelling, Coupure Links 653, B-9000 Ghent, Belgium.","Belgium","computational fluid dynamics; downstream fish migration; European eel; fish behaviour; navigation locks; shipping canal","SILVER EELS; FISH; L.","Fisheries; Marine & Freshwater Biology","Fisheries; Marine & Freshwater Biology","Ghent University - Faculty of Bioscience Engineering - Department of Data Analysis and Mathematical Modelling - BIOMATH","x","Belgium","x","Research institute","Science","OK","{'SDG_2': 1.0, 'SDG_14': 1.0}"
